source_ru	canonical_en	layer	glossary_kind	priority	source_count	status	confidence	historical_person_tier	review_reason	g3_action	g3_review_priority	g3_review_reason	g4_action	g4_confidence	g4_review_priority	g4_review_reason	person_document_count	person_organization_count	alias_count	process_distribution	notes
А.П. Метальникова	A.P. Metalnikov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
А.П. Удалова	A.P. Udalov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
А.Ф. Кошелева	A.F. Koshelev	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
А.Ф. Ульянова	A.F. Ulyanov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	5	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
А.Я. Юскиной	A.Ya. Yuskina	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
Б.А. Васильева	B.A. Vasilev	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
Б.Е. Алдаданова	B.E. Aldadanov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	5	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
Б.Е. Барского	B.E. Barsky	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	5	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Б.Л. Колесникова	B.L. Kolesnikov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	5	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
Б.Л. Лопатинского	B.L. Lopatinsky	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
Б.О. Норкина	B.O. Norkin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Б.П. Нестерова	B.P. Nesterov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	7	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
Б.С. Рабиновича	B.S. Rabinovich	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
В.А. Сорокина	V.A. Sorokin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
В.А. Финашина	V.A. Finashin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
В.В. Румянцнева	V.V. Rumyantsnev	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
В.Г. Лукина	V.G. Lukin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
В.Д. Томленова	V.D. Tomlenov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	5	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
В.Е. Цесарского	V.E. Tsesarsky	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
В.И. Клюшенкова	V.I. Klyushenkov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
В.К. Жарикова	V.K. Zharikov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
В.К. Клейна	V.K. Klein	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
В.К. Сотскова	V.K. Sotskov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	5	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
В.Л. Горохова	V.L. Gorokhov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
В.М. Мулина	V.M. Mulin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
В.Н. Слепкова	V.N. Slepkov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	6	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
В.П. Второва	V.P. Vtorov	people	person_name	low	1	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	1	8	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
В.Ф. Захариной	V.F. Zakharina	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
В.Ф. Степанова	V.F. Stepanov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Г.А. Абрамова	G.A. Abramov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Г.А. Татулова	G.A. Tatulov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	5	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Г.Д. Арсентьева	G.D. Arsentev	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Г.И. Исаева	G.I. Isaev	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
Г.И. Миронова	G.I. Mironov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
Г.И. Серебряковой	G.I. Serebryakova	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Г.М. Дрязгова	G.M. Dryazgov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
Г.М. Ивановой	G.M. Ivanova	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
Г.М. Маленкова	G.M. Malenkov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
Г.М. Сыроквашева	G.M. Syrokvashev	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Г.П. Вяткина	G.P. Vyatkin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	5	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
Г.Р. Николаева	G.R. Nikolaev	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Г.С. Тымянского	G.S. Tymyansky	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
Г.Т. Мясничкова	G.T. Myasnichkov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
Г.Ф. Самойловича	G.F. Samoilovich	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
Д.А. Аникина	D.A. Anikin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
Д.А. Сниткина	D.A. Snitkin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
Д.В. Сафронова	D.V. Safronov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Д.П. Албанского	D.P. Albansky	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
Д.С. Гуревича	D.S. Gurevich	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
Д.С. Зенцова	D.S. Zentsov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Д.Ф. Бузина	D.F. Buzin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
Д.Я. Александрова	D.Ya. Aleksandrov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
Е.А. Кондратьевой	E.A. Kondrateva	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
Е.А. Преображенского	E.A. Preobrazhensky	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
Е.Б. Федосеева	E.B. Fedoseev	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	5	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Е.Г. Соловьевой	E.G. Soloveva	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
Е.И. Медкова	E.I. Medkov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
Е.И. Перлина	E.I. Perlin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Е.М. Бочарова	E.M. Bocharov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
Е.М. Дебрева	E.M. Debrev	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
Е.П. Рудневой	E.P. Rudneva	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	1	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
Е.С. Мельниковой	E.S. Melnikova	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
Е.Т. Тимофеева	E.T. Timofeev	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
Е.Т. Черкасовой	E.T. Cherkasova	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
Е.Ф. Ермолаевой	E.F. Ermolaeva	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
Е.Ф. Тойво-Пешина	E.F. Toivo-Peshin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Е.Э. Чернозубовой	E.E. Chernozubova	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	1	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
З.Н. Гайдеровой	Z.N. Gaiderova	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
З.С. Синициной	Z.S. Sinitsina	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
И.А. Данилова	I.A. Danilov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
И.А. Мальгина	I.A. Malgin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	6	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
И.А. Масленникова	I.A. Maslennikov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	6	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
И.В. Липковского	I.V. Lipkovsky	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
И.В. Любина	I.V. Lyubin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	5	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
И.Г. Жестянникова	I.G. Zhestyannikov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
И.Д. Зорина	I.D. Zorin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
И.З. Станкина	I.Z. Stankin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
И.И. Носкова	I.I. Noskov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
И.И. Петухова	I.I. Petukhov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
И.И. Соловьева	I.I. Solovev	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
И.М. Кедрова	I.M. Kedrov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
И.М. Майского	I.M. Maisky	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
И.М. Покатиловского	I.M. Pokatilovsky	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
И.М. Русанова	I.M. Rusanov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
И.Н. Миронова	I.N. Mironov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
И.П. Лукьянова	I.P. Lukyanov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
И.С. Кострицкого	I.S. Kostritsky	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	0	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
И.Т. Жирова	I.T. Zhirov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
И.Ф. Серегина	I.F. Seregin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
К.А. Апанасевича	K.A. Apanasevich	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
К.А. Оганесова	K.A. Oganesov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
К.В. Генераловой	K.V. Generalova	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
К.В. Трофимова	K.V. Trofimov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
К.Д. Мучникова	K.D. Muchnikov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
К.Е. Дубовского	K.E. Dubovsky	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
К.М. Ерофицкого	K.M. Erofitsky	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	5	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
К.М. Петухова	K.M. Petukhov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
К.Н. Афонина	K.N. Afonin	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
К.Ф. Лебедева	K.F. Lebedev	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							1	2	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
Л.А. Воронова	L.A. Voronov	people	person_name	low	1	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					1	3	1	КРЕМЛЕВСКОЕ ДЕЛО:1	automatic transliteration seed; human review recommended before production glossary
